,Dataset,Classifier,Oversampling method,Metric,Std CV score
262,segment,LogisticRegression,SMOTE2,geometric mean score,0.002622146254990446
263,segment,LogisticRegression,SMOTE2,roc auc score,0.004104520387092474
264,vehicle,LogisticRegression,KMeansSMOTE,f1 score,0.00820820365464845
265,vehicle,LogisticRegression,KMeansSMOTE,geometric mean score,0.0023985977827918207
266,vehicle,LogisticRegression,KMeansSMOTE,roc auc score,0.0030130000639215578
267,vehicle,LogisticRegression,KMeansSMOTE2,f1 score,0.006066134601733555
268,vehicle,LogisticRegression,KMeansSMOTE2,geometric mean score,0.0012314083530746455
269,vehicle,LogisticRegression,KMeansSMOTE2,roc auc score,0.007809767769741376
270,vehicle,LogisticRegression,KMeansSMOTE3,f1 score,0.004584604154583951
271,vehicle,LogisticRegression,KMeansSMOTE3,geometric mean score,0.0010151661215882083
272,vehicle,LogisticRegression,KMeansSMOTE3,roc auc score,0.005084160339695217
273,vehicle,LogisticRegression,KMeansSMOTE4,f1 score,0.00937484747064983
274,vehicle,LogisticRegression,KMeansSMOTE4,geometric mean score,0.0009842164464759207
275,vehicle,LogisticRegression,KMeansSMOTE4,roc auc score,0.005094329145558942
276,vehicle,LogisticRegression,None,f1 score,0.005106909027495952
277,vehicle,LogisticRegression,None,geometric mean score,0.0017620696227560425
278,vehicle,LogisticRegression,None,roc auc score,0.00364203567888204
279,vehicle,LogisticRegression,RandomOverSampler,f1 score,0.005104776019786433
280,vehicle,LogisticRegression,RandomOverSampler,geometric mean score,0.002444848895061371
281,vehicle,LogisticRegression,RandomOverSampler,roc auc score,0.0053223706145257045
282,vehicle,LogisticRegression,SMOTE,f1 score,0.009452202315356338
283,vehicle,LogisticRegression,SMOTE,geometric mean score,0.0017983553718093786
284,vehicle,LogisticRegression,SMOTE,roc auc score,0.003311488274103651
285,vehicle,LogisticRegression,SMOTE2,f1 score,0.00848155455146976
286,vehicle,LogisticRegression,SMOTE2,geometric mean score,0.00212224814655422
287,vehicle,LogisticRegression,SMOTE2,roc auc score,0.0058010128976476874
288,wine,LogisticRegression,KMeansSMOTE,f1 score,0.012371997794090251
289,wine,LogisticRegression,KMeansSMOTE,geometric mean score,0.0014923292640678675
290,wine,LogisticRegression,KMeansSMOTE,roc auc score,0.007955951113766646
291,wine,LogisticRegression,KMeansSMOTE2,f1 score,0.014838578147737931
292,wine,LogisticRegression,KMeansSMOTE2,geometric mean score,0.003705627706040587
293,wine,LogisticRegression,KMeansSMOTE2,roc auc score,0.013947964948215385
294,wine,LogisticRegression,KMeansSMOTE3,f1 score,0.01270195313172099
295,wine,LogisticRegression,KMeansSMOTE3,geometric mean score,0.0014678300682255368
296,wine,LogisticRegression,KMeansSMOTE3,roc auc score,0.009419539991465675
297,wine,LogisticRegression,KMeansSMOTE4,f1 score,0.01049317181870032
298,wine,LogisticRegression,KMeansSMOTE4,geometric mean score,0.0027460342738403988
299,wine,LogisticRegression,KMeansSMOTE4,roc auc score,0.009573346895393351
300,wine,LogisticRegression,None,f1 score,0.013481188762442045
301,wine,LogisticRegression,None,geometric mean score,0.0022596878653899036
302,wine,LogisticRegression,None,roc auc score,0.015777417128623964
303,wine,LogisticRegression,RandomOverSampler,f1 score,0.015466672309535594
304,wine,LogisticRegression,RandomOverSampler,geometric mean score,0.0015938131407163534
305,wine,LogisticRegression,RandomOverSampler,roc auc score,0.011272362053504946
306,wine,LogisticRegression,SMOTE,f1 score,0.010973001047577657
307,wine,LogisticRegression,SMOTE,geometric mean score,0.0025305724099115847
308,wine,LogisticRegression,SMOTE,roc auc score,0.013959336274643826
309,wine,LogisticRegression,SMOTE2,f1 score,0.011182774331263823
310,wine,LogisticRegression,SMOTE2,geometric mean score,0.0024877556390872006
311,wine,LogisticRegression,SMOTE2,roc auc score,0.007667520121655391
